Longitude,Latitude,Accident_Severity,Date,Day_of_Week,Time,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Carriageway_Hazards,Urban_or_Rural_Area
-3.41407,58.424168,3,03/10/2016,2,00:30,6,1,1,7,2
-3.094345,58.441371,3,11/10/2016,3,16:30,1,1,1,0,2
-3.445508,58.231765,3,16/10/2016,1,10:00,1,1,2,0,2
-3.135316,58.528411,3,20/10/2016,5,22:15,6,1,1,0,2
-3.525214,58.593843,3,01/11/2016,3,22:33,4,2,2,0,2
-3.35079,58.600339,3,18/11/2016,6,02:42,6,2,4,0,2
-3.456427,58.525574,2,21/11/2016,2,08:40,1,8,4,0,2
-3.707721,58.587075,3,15/12/2016,5,16:25,6,1,2,0,2
-3.376504,58.593851,2,28/12/2016,4,14:49,1,1,1,0,2
-2.954142,58.980575,3,11/01/2016,2,16:00,4,5,2,0,2
-2.893451,59.035918,3,13/01/2016,4,12:30,1,1,2,0,2
-2.960427,58.984498,3,21/01/2016,5,17:15,4,1,1,0,2
-2.964979,58.980558,2,27/01/2016,4,17:10,4,1,2,0,2
-3.228861,58.968829,3,31/01/2016,1,09:25,1,6,3,0,2
-2.955129,58.977901,3,18/02/2016,5,06:15,4,1,1,0,2
-3.339128,59.02044,3,06/03/2016,1,16:30,1,1,4,0,2
-2.954196,58.949177,2,23/04/2016,7,21:55,6,1,1,0,2
-3.248036,58.983519,3,13/05/2016,6,18:20,1,1,1,0,2
-2.911971,58.954879,2,19/05/2016,5,14:00,1,2,2,0,2
-2.963335,58.978971,3,28/05/2016,7,13:00,1,1,1,0,2
-2.964097,58.798702,3,29/05/2016,1,10:15,1,1,1,0,2
-2.954196,58.949177,3,02/06/2016,5,16:00,1,2,2,0,2
-2.915735,58.837099,3,06/06/2016,2,03:10,4,1,1,0,2
-3.037874,58.99678,3,18/06/2016,7,17:30,1,1,1,0,2
-3.282695,59.058832,1,25/06/2016,7,04:30,1,1,1,0,2
-3.095116,59.001042,3,28/06/2016,3,14:00,1,1,1,0,2
-3.291141,58.969741,3,23/07/2016,7,21:00,1,1,1,0,2
-3.293477,58.970364,2,10/08/2016,4,08:00,1,1,1,0,2
-2.920311,58.901848,2,20/08/2016,7,00:30,6,1,1,0,2
-3.048345,58.99428,3,10/10/2016,2,09:55,1,1,1,0,2
-3.033639,58.997757,2,14/10/2016,6,17:15,6,5,2,0,2
-3.290394,58.991645,3,21/11/2016,2,09:40,1,1,4,0,2
-2.827056,58.969612,3,14/12/2016,4,15:00,1,1,2,0,2
-2.954816,58.977283,3,14/12/2016,4,18:55,4,2,2,0,2
